CVR-nummer/REG-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet
42474835;2021-06-18;;Bygg & service;Lisegårdsvænget 37 - 4030 Tune;4030;Tune;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;28298211;annadluzyk@wp.pl;Nej
44642263;2024-02-19;;MP PROJEKT;C/O john Alexandersen Petersen, C/O john Alexandersen Petersen - Bjælkevangen 11 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;pawmar.mp@gmail.com;Ja
21993239;1999-10-01;;H.J. BYG V/HENRIK STEEN JENSEN;Greve Strandvej 173 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;46150411;;Nej
29743258;2006-10-15;;Tømrermester Thomas Jensen;Ræveholmsvej 41 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;thomasfisker@youmail.dk;Nej
29743231;2006-10-01;;Tømrermester Kenneth Juhl;Tværager 37 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;40984939;kennethjuhl@eriksminde.dk;Ja
15037733;1991-05-14;;SNEDKERMESTER HANS BORTFELDT;Greve Landevej 119 - 2670 Greve;2670;Greve;Personligt ejet Mindre Virksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
19211495;1996-04-18;;SPLINT V/CLAUS HANSEN;Mosegårdshaven 8 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;26163041;splint@splinten.dk;Ja
44337517;2023-10-02;;Tømrermester Jeppe Staal;Mosede Klintvej 39 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;41612096;info.jeppestaal@gmail.com;Ja
45544664;2025-04-16;;ML Byg;C/O Mathias Larsen, C/O Mathias Larsen - Mosede Bygade 61 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;mathiaslarsen04@gmail.com;Ja
29676062;2006-07-01;;GB Byg v/Glenn Birch;Hastrupvejen 34 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;glennbirch@hotmail.com;Nej
25672623;2000-11-01;;Tømrer-og snedkermester Brian Pedersen;Rørhaven 21 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;20971170;brian@ac-pedersen.dk;Ja
29999864;2006-11-20;;Tømrerfirmaet Morten Nielsen;Lillevangsparken 20 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;20943139;morten@nielsen.mail.dk;Nej
44952696;2024-07-08;;Guld Byg;Nørrevej 8 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;30953030;kontakt@guld-byg.dk;Ja
45113329;2024-11-01;;MH Tømrer & Snedker;Tjurgården 123 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;42809112;mhasna1984@gmail.com;Nej
11180175;1986-09-20;;J A BOLIGREPARATION V/JOHN ALEXANDERSEN PETERSEN;Bjælkevangen 11 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;23239101;;Nej
33975309;2011-11-14;;JJ TotalByg v/Johnny Jensen;Tune Bygade 20 - 4030 Tune;4030;Tune;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;20717274;kontakt@jjtotalbyg.dk;Nej
37297550;2015-12-01;;Costly Entreprise;Hartmannsvej 10 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;20457080;sifsvej4@gmail.com;Ja
54755058;1986-08-01;;L.B. BYG OG SERVICE V/LARS BO JØRGENSEN;Birgitsvej 8 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;40855946;lbbyg@mail.tele.dk;Ja
39281252;2018-01-26;;JHenriksen;Bredager 72 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;jenshenriksen9@hotmail.com;Ja
34815267;2013-01-01;;BrugForHjaelp;Jerismosevej 184 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;info@brugforhjaelp.dk;Ja
28873794;2005-07-25;;Tømrermester K. F. Jensen v/Kenneth Jensen;Brødmosen 10A - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;20134314;tomrerkfjensen@gmail.com;Ja
33285620;2010-11-01;;Greve-Landsbysnedker;Skolevænget 10 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;20769714;grevelandsbysnedker@gmail.com;Nej
36621273;2015-07-01;;Jørn Laursen Tømrerservice;Krogager 12 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;Jorn36@hotmail.com;Ja
26828554;2002-10-28;;Tømrer/snedkermester Niels Mathiasen;Tinggårdsparken 85 - 4030 Tune;4030;Tune;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
40026533;2018-11-29;;HY Entreprise & Design;Digehuset 4 - st. 3 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;91458878;yasar-mobilya@hotmail.com;Nej
42966126;2022-01-11;;Bjerre Enterprise;C/O Axl Bjerre Andersen, C/O Axl Bjerre Andersen - Belsager 17 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;Bjerre-Enterprise@hotmail.com;Ja
43289225;2022-06-01;;Tømrermester JVS;Rosenlyparken 89 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;27512166;jacobvesterskov@gmail.com;Ja
42750867;2021-10-12;;Tømrermester Ricks Farsinsen;Hasselhegnet 23 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;61669844;RicksFarsinsen@outlook.dk;Ja
45007278;2024-08-12;;SJ BYG;C/O Simon Johannis, C/O Simon Johannis - Oldermandsvej 5 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;info.sjbyg@gmail.com;Ja
32597378;2010-01-01;;S. Mondrup Byg v/Stefan Emanuel Mondrup;Nylandsvej 2 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;46151280;mondrup.byg@gmail.com;Nej
29558310;2006-06-20;;Baun Byg v/ Mogens Baun Møller;Kildebrønde Landevej 62 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;23699299;mogensbaun@hotmail.com;Ja
28917341;2005-09-01;;Tømrermester Ronnie Larsen;Klinteparksvej 4 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;22482666;rl@r-larsen.dk;Ja
20797746;2013-02-04;;3J Byg;Tinggårdsvænget 68 - 4030 Tune;4030;Tune;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;25390744;jj@jj-byg.dk;Nej
44727277;2023-05-09;;Snedkeriet Bøttcher;Jerismosevej 59 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;22202897;lucmads@gmail.com;Ja
43802984;2023-02-01;;MJ Entreprize;Bondager 21 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;mjentreprize@gmail.com;Ja
35955100;2014-07-15;;BNO multiservice;C/O Bjarne Norfast, C/O Bjarne Norfast - Holmehaven 34 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;bno.multiservice@gmail.com;Nej
43442961;2022-08-16;;vangsgaard entreprise;Rørhaven 23 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;50575538;vangsgaardentreprise@gmail.com;Ja
43801651;2023-01-25;;Lynge Østergaard;Kildebrønde Landevej 41 - 2670 Greve;2670;Greve;Personligt ejet Mindre Virksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;lyngeoestergaard@gmail.com;Ja
45038467;2024-09-01;;SH Tømrer & Snedker;C/O Malte Søndergaard, C/O Malte Søndergaard - Ingesvej 4 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;29672979;maltesoendergaard@gmail.com;Ja
28413378;2005-03-01;;Bagges-Tagservice;Mosede Klintvej 39 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;41612029;Bent@staal-bagge.dk;Ja
20712473;1998-04-01;;DUNDEE TØMRER & SNEDKERFIRMA V/MICHAEL NJOR;Fyrrehegnet 41 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;20442588;dundee@dundee.dk;Ja
19196305;1996-04-30;;Greve Tømrer Service v/Thor Rasmussen;Ole Larsensvej 16 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;thorrasmussen@webspeed.dk;Nej
20677503;1998-03-01;;SNEDKER FLEMMING T JENSEN;Markersvænge 15 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
29058423;2005-11-21;;BH Byg v/Bent Hansen;Byvejen 7 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;23295432;;Nej
36666854;2024-01-01;;U.S. Crane;Viften 3 - 1. 3 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;27582670;upkarsingh@live.dk;Ja
34302820;2016-03-08;;Frydenlund & Sønner;Grønlykkeparken 19F - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;53559757;brianfrydenlund@hotmail.com;Ja
27148778;2018-02-27;;CLS4U;C/O Michael Løytved, C/O Michael Løytved - Rosenvangsvej 35 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;22113366;christian@loytved.dk;Ja
30032853;2015-01-01;;Marinussen Byg v/Jacob Marinussen;Strøhusvej 39 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;marinussen-byg@hotmail.com;Ja
28190182;2025-05-23;;Nicefurnituredk;C/O Jesper Krusell, C/O Jesper Krusell - Karlslunde Kysthave 8 - 1. mf - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;71901253;nicefurnituredk@gmail.com;Ja
21698237;2019-01-01;;Snedkerservice;Kirsebærhegnet 18 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;sbchr1@gmail.com;Nej
27660363;2019-11-01;;Hinbjerg Entreprise;Hinbjerg 39 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;60176037;hinbjergentreprise@gmail.com;Nej
42429929;2022-03-01;;Mittag byg;Martin Jensens Vej 1 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;22195461;permittag@hotmail.com;Ja
27836941;2017-07-12;;Stenders Tømrer Service;Digehuset 8 - 3. tv - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;stenders@outlook.dk;Ja
40939938;2021-11-29;;Elbæk Entreprise;Elkærparken 46 - 4030 Tune;4030;Tune;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;31378606;Patrickstange@hotmail.com;Ja
38901729;2024-09-16;;MD Entreprise;Tejstgården 36 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;31472177;Mdentreprise95@gmail.com;Ja
32024130;2017-12-01;;2xJ Entreprise;Hejren 11B - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;29652577;2xj.entreprise@gmail.com;Nej
